date,close,imp30,imp60,imp90,imp120
6/7/2012,81.6743,28.41,31.021,32.787,34.884
6/8/2012,82.9029,27.04,30.331,32.23,34.49
6/11/2012,81.6486,27.85,31.563,32.602,34.6
6/12/2012,82.3086,27.41,31.442,32.473,34.639
6/13/2012,81.7371,26.86,31.305,32.292,34.638
6/14/2012,81.6471,27.31,31.772,32.469,34.862
6/15/2012,82.0186,26.19,31.215,31.654,34.058
6/18/2012,83.6829,24.64,30.567,30.397,32.923
6/19/2012,83.9157,24.14,30.115,29.831,32.517
6/20/2012,83.6786,24.4,30.09,29.76,32.498
6/21/2012,82.52,24.66,30.292,29.905,32.627
6/22/2012,83.1571,24.08,29.799,29.479,32.381
6/25/2012,81.5314,26.37,30.939,30.509,33.163
6/26/2012,81.7386,26.32,31.231,30.724,33.316
6/27/2012,82.0714,26.04,30.659,30.221,32.897
6/28/2012,81.2929,26.11,30.357,30.338,33.218
6/29/2012,83.4286,24.28,28.892,28.993,32.082
7/2/2012,84.6729,26.25,28.999,28.881,31.849
7/3/2012,85.63,25.38,28.679,28.591,31.599
7/5/2012,87.1343,27.2,29.146,28.592,31.006
7/6/2012,86.6043,27.52,29.178,28.734,31.32
7/9/2012,87.6986,29.27,29.777,29.25,31.355
7/10/2012,86.8871,32.92,30.776,29.958,31.747
7/11/2012,86.3471,33.06,30.902,30.335,31.961
7/12/2012,85.5571,33.28,31.011,30.565,32.182
7/13/2012,86.4243,32.31,29.987,29.672,31.468
7/16/2012,86.7071,31.73,28.931,29.097,31.13
7/17/2012,86.7057,32.14,28.979,29.217,30.91
7/18/2012,86.6086,32.84,29.405,29.673,31.268
7/19/2012,87.7843,32.06,29.026,29.647,31.452
7/20/2012,86.2429,31.52,28.531,29.897,31.564
7/23/2012,86.2614,33.88,29.902,31.237,32.423
7/24/2012,85.8986,34.17,30.532,31.575,32.739
7/25/2012,82.1386,22.85,24.04,26.946,30.293
7/26/2012,82.1257,21.5,23.394,26.247,29.475
7/27/2012,83.6357,20.44,22.54,25.821,29.128
7/30/2012,85.0043,21.82,23.609,26.468,29.305
7/31/2012,87.2514,23.7,25.341,27.977,30.217
8/1/2012,86.6871,23.68,25.051,27.442,29.861
8/2/2012,86.8271,23.71,25.645,28.204,30.386
8/3/2012,87.9571,21.52,24.198,26.819,29.164
8/6/2012,88.9357,22.46,24.669,27.179,29.149
8/7/2012,88.73,22.3,23.802,26.436,28.822
8/8/2012,88.5514,21.6,23.256,25.958,28.491
8/9/2012,88.6757,20.67,22.684,25.706,28.451
8/10/2012,88.8057,19.61,21.904,25.083,27.928
8/13/2012,90,20.9,23.43,26.37,28.658
8/14/2012,90.2414,21.07,23.888,26.445,28.643
8/15/2012,90.1186,21.44,24.149,26.76,28.988
8/16/2012,90.9057,21.45,24.453,27.006,29.116
8/17/2012,92.5871,22.05,25.371,27.815,29.732
8/20/2012,95.0214,25.44,27.464,29.647,30.846
8/21/2012,93.7464,27.12,28.538,29.798,30.692
8/22/2012,95.5529,26.55,28.922,30.242,31.078
8/23/2012,94.6229,27.59,29.447,30.674,31.363
8/24/2012,94.7643,26.55,28.812,29.878,30.882
8/27/2012,96.4957,26.49,28.695,29.645,30.935
8/28/2012,96.4,25.49,28.258,29.382,30.967
8/29/2012,96.2329,24.77,27.798,29.104,31.062
8/30/2012,94.8657,25.17,27.942,29.336,31.464
8/31/2012,95.0343,24.72,27.869,29.146,31.364
9/4/2012,96.3671,27.61,29.133,29.802,31.816
9/5/2012,95.7471,27.38,29.134,29.688,31.488
9/6/2012,96.6514,26.46,28.45,28.997,30.822
9/7/2012,97.2143,25.77,28.626,29.208,30.673
9/10/2012,94.6771,29.4,30.634,30.113,31.163
9/11/2012,94.37,28.97,30.722,30.169,31.151
9/12/2012,95.6743,28.01,30.511,29.872,30.714
9/13/2012,97.5843,26.48,29.612,28.982,30.043
9/14/2012,98.7543,24.51,27.958,27.68,29.421
9/17/2012,99.9714,24.07,28.09,27.466,29.45
9/18/2012,100.2786,24.43,28.094,27.315,29.271
9/19/2012,100.3,23.2,27.065,26.618,28.895
9/20/2012,99.8271,23.37,27.289,26.811,29.027
9/21/2012,100.1014,23.68,27.121,26.645,28.874
9/24/2012,98.5543,26.13,28.734,27.86,29.848
9/25/2012,96.2429,25.32,27.895,27.012,29.363
9/26/2012,95,29.37,31.265,30.022,31.764
9/27/2012,97.3443,29.15,31.199,29.812,31.647
9/28/2012,95.3229,30.46,32.284,31.13,32.749
10/1/2012,94.2471,31.2,32.289,31.372,33.085
10/2/2012,94.4729,32.4,33.03,31.872,33.447
10/3/2012,95.9629,30.66,32.229,31.452,33.287
10/4/2012,95.2571,30.34,31.638,30.874,32.887
10/5/2012,93.2357,31.29,32.374,31.562,33.472
10/9/2012,90.8357,36.43,34.673,33.762,34.735
10/10/2012,91.5586,35.39,33.764,33.28,34.885
10/11/2012,89.7286,35.02,33.272,32.674,34.342
10/12/2012,89.9371,34.67,32.649,32.114,33.688
10/15/2012,90.68,34.68,32.198,31.706,33.292
